Year Mo Dy     tave     tmax     tmin       vp    rhmax    rhmin        pp      gust
2000  6 26   12.623   14.594   10.652    1.220    1.012    0.658     0.000     6.233
2000  6 27   16.427   19.894   12.959    1.492    0.978    0.619     0.000     7.899
2000  6 28   15.054   20.441    9.667    1.308    1.010    0.519     0.000     8.526
2000  6 29   21.197   31.748   10.646    1.367    0.959    0.128     0.000     7.644
2000  6 30   21.808   31.434   12.181    1.500    0.962    0.186     0.000     7.585
2000  7  1   22.201   30.679   13.722    1.355    0.778    0.234     0.000     9.349
2000  7  2   23.364   32.293   14.436    1.391    0.822    0.147     0.000     8.134
2000  7  3   24.112   31.082   17.142    1.454    0.796    0.172     0.000     6.801
2000  7  4   23.334   32.541   14.127    1.265    0.788    0.094     0.000     9.565
2000  7  5   23.703   31.281   16.124    1.235    0.663    0.180     0.000     7.605
2000  7  6   25.902   35.217   16.588    1.817    0.973    0.114     0.000     7.958
2000  7  7   25.408   33.959   16.857    1.286    0.696    0.096     0.000     9.349
2000  7  8   25.154   31.897   18.412    1.494    0.693    0.242     0.000     8.467
2000  7  9   24.338   31.684   16.992    1.508    0.772    0.218     0.000     8.957
2000  7 10   23.402   30.367   16.438    1.692    0.894    0.282     0.000     7.801
2000  7 11   24.400   32.430   16.370    1.764    0.966    0.188     0.000     6.213
2000  7 12   24.078   30.981   17.174    1.648    0.800    0.299     0.000    11.682
2000  7 13   24.038   33.351   14.725    1.788    0.965    0.231     0.000     6.762
2000  7 14   24.925   33.817   16.033    1.550    0.829    0.154     0.000     6.292
2000  7 15   26.085   34.034   18.137    1.573    0.718    0.213     0.000     9.604
2000  7 16   21.908   27.798   16.018    1.909    0.985    0.467     0.000     8.761
2000  7 17   18.410   21.764   15.056    1.788    0.990    0.698     0.000    10.290
2000  7 18   23.219   32.701   13.737    1.610    0.986    0.145     0.000     8.448
2000  7 19   22.461   30.316   14.606    1.600    0.941    0.235     0.000     7.448
2000  7 20   22.627   28.785   16.469    1.399    0.740    0.279     0.000    10.643
2000  7 21   21.384   28.587   14.182    1.601    0.899    0.358     0.000     9.878
2000  7 22   21.405   29.354   13.456    1.554    0.934    0.286     0.000     6.331
2000  7 23   23.453   33.227   13.679    1.488    0.922    0.109     0.000    17.385
2000  7 24   24.361   34.661   14.061    1.400    0.799    0.119     0.000     8.546
2000  7 25   22.688   30.912   14.464    1.249    0.762    0.145     0.000    13.054
2000  7 26   23.973   31.780   16.166    1.273    0.670    0.184     0.000     9.663
2000  7 27   24.064   31.309   16.820    1.421    0.726    0.223     0.000     7.272
2000  7 28   23.056   30.198   15.915    1.606    0.821    0.318     0.000     6.644
2000  7 29   23.576   31.658   15.493    1.536    0.850    0.206     0.000     5.782
2000  7 30   22.553   30.771   14.335    1.338    0.779    0.200     0.000     6.076
2000  7 31   22.519   30.627   14.411    1.239    0.723    0.185     0.000     5.292
2000  8  1   24.409   33.728   15.089    1.433    0.765    0.172     0.000    13.857
2000  8  2   24.241   31.006   17.476    1.549    0.767    0.256     0.000     7.330
2000  8  3   24.575   32.125   17.024    1.774    0.891    0.257     0.000     6.997
2000  8  4   24.180   31.974   16.385    1.861    0.953    0.280     0.000    13.269
2000  8  5   24.733   32.662   16.804    1.721    0.949    0.155     0.000    12.505
2000  8  6   21.473   30.076   12.869    1.397    0.882    0.209     0.000     7.722
2000  8  7   22.623   32.509   12.738    1.452    0.897    0.161     0.000    11.505
2000  8  8   24.300   35.204   13.397    1.506    0.889    0.103     0.000     7.076
2000  8  9   23.953   32.950   14.956    1.433    0.692    0.271     0.000     6.664
2000  8 10   22.249   29.555   14.943    1.654    0.881    0.351     0.000     5.958
2000  8 11   25.023   33.617   16.429    1.655    0.847    0.196     0.000    11.113
2000  8 12   22.032   26.952   17.112    1.502    0.801    0.333     0.000     5.547
2000  8 13   22.933   31.049   14.816    1.596    0.848    0.293     0.000     6.938
2000  8 14   24.227   33.971   14.483    1.524    0.855    0.152     0.000     5.743
2000  8 15   24.929   31.584   18.274    1.906    0.890    0.318     0.000     9.643
2000  8 16   23.317   28.991   17.644    1.776    0.858    0.383     0.000     7.174
2000  8 17   19.917   23.043   16.791    1.540    0.920    0.404     0.000     7.389
2000  8 18   19.271   24.110   14.432    1.649    0.997    0.478     0.000     6.213
2000  8 19   22.585   30.714   14.457    1.550    0.908    0.223     0.000     6.644
2000  8 20   22.016   29.640   14.392    1.548    0.909    0.261     0.000     8.977
